Epoch: 103, Loss A: 0.09530425, loss B: 0.0668078
Epoch: 104, Loss A: 0.090556294, loss B: 0.07121942
Epoch: 105, Loss A: 0.095995754, loss B: 0.07342495
Epoch: 106, Loss A: 0.094283804, loss B: 0.069563404
Epoch: 107, Loss A: 0.09621094, loss B: 0.0655777
Epoch: 108, Loss A: 0.08941777, loss B: 0.07122813
Epoch: 109, Loss A: 0.10527673, loss B: 0.066739455
Epoch: 110, Loss A: 0.10476188, loss B: 0.06486708
Epoch: 111, Loss A: 0.098186255, loss B: 0.070263475
Epoch: 112, Loss A: 0.09620499, loss B: 0.07101541
Epoch: 113, Loss A: 0.09152122, loss B: 0.0731166
Epoch: 114, Loss A: 0.090090856, loss B: 0.06527365
Epoch: 115, Loss A: 0.091294676, loss B: 0.07263473
Epoch: 116, Loss A: 0.10466011, loss B: 0.06750868
Epoch: 117, Loss A: 0.09653561, loss B: 0.067283586
Epoch: 118, Loss A: 0.09170224, loss B: 0.07012846
Epoch: 119, Loss A: 0.09497031, loss B: 0.06906614
Epoch: 120, Loss A: 0.09810753, loss B: 0.07315346
Epoch: 121, Loss A: 0.09281883, loss B: 0.07157841
Epoch: 122, Loss A: 0.08968005, loss B: 0.06926279
Epoch: 123, Loss A: 0.090955526, loss B: 0.07246226
Epoch: 124, Loss A: 0.1083146, loss B: 0.06567459
Epoch: 125, Loss A: 0.093407296, loss B: 0.066527456
Epoch: 126, Loss A: 0.08553766, loss B: 0.065950096
Epoch: 127, Loss A: 0.08915414, loss B: 0.068776816
Epoch: 128, Loss A: 0.0988386, loss B: 0.07678172
Epoch: 129, Loss A: 0.096168175, loss B: 0.072905645
Epoch: 130, Loss A: 0.090087056, loss B: 0.066476755
Epoch: 131, Loss A: 0.08766596, loss B: 0.069516346
Epoch: 132, Loss A: 0.09841673, loss B: 0.06523885
Epoch: 133, Loss A: 0.10056233, loss B: 0.06611778
Epoch: 134, Loss A: 0.09413627, loss B: 0.06698775
Epoch: 135, Loss A: 0.094939835, loss B: 0.07231817
Epoch: 136, Loss A: 0.0936977, loss B: 0.07153346
Epoch: 137, Loss A: 0.0949806, loss B: 0.064704545
Epoch: 138, Loss A: 0.08478986, loss B: 0.06674291
Epoch: 139, Loss A: 0.09851861, loss B: 0.06494756
Epoch: 140, Loss A: 0.103073575, loss B: 0.065693416
Epoch: 141, Loss A: 0.09050995, loss B: 0.068286486
Epoch: 142, Loss A: 0.09206238, loss B: 0.06687995
Epoch: 143, Loss A: 0.09730881, loss B: 0.072393104
Epoch: 144, Loss A: 0.09848313, loss B: 0.06920756
Epoch: 145, Loss A: 0.09856999, loss B: 0.06789392
Epoch: 146, Loss A: 0.08846904, loss B: 0.06953642
Epoch: 147, Loss A: 0.09622547, loss B: 0.06685723
Epoch: 148, Loss A: 0.09634335, loss B: 0.06588594
Epoch: 149, Loss A: 0.095888, loss B: 0.06662834
Epoch: 150, Loss A: 0.08630508, loss B: 0.070594296
Epoch: 151, Loss A: 0.101042435, loss B: 0.0724666
Epoch: 152, Loss A: 0.090996966, loss B: 0.069479406
Epoch: 153, Loss A: 0.08300329, loss B: 0.06579466
Epoch: 154, Loss A: 0.097394116, loss B: 0.070175976
Epoch: 155, Loss A: 0.09357789, loss B: 0.06690313
Epoch: 156, Loss A: 0.09624129, loss B: 0.06728384
Epoch: 157, Loss A: 0.107281595, loss B: 0.07096779
Epoch: 158, Loss A: 0.09434678, loss B: 0.06759311
Epoch: 159, Loss A: 0.09589954, loss B: 0.073729515
Epoch: 160, Loss A: 0.08874864, loss B: 0.06829559
Epoch: 161, Loss A: 0.092837974, loss B: 0.06518162
Epoch: 162, Loss A: 0.11259797, loss B: 0.073038474
Epoch: 163, Loss A: 0.08932309, loss B: 0.0682178
Epoch: 164, Loss A: 0.09639903, loss B: 0.06780903
Epoch: 165, Loss A: 0.095312685, loss B: 0.070143916
Epoch: 166, Loss A: 0.0874872, loss B: 0.07219558
Epoch: 167, Loss A: 0.098407656, loss B: 0.07249251
Epoch: 168, Loss A: 0.09651408, loss B: 0.06440703
Epoch: 169, Loss A: 0.09001882, loss B: 0.06775796
Epoch: 170, Loss A: 0.0936474, loss B: 0.06483619
Epoch: 171, Loss A: 0.09203434, loss B: 0.064521685
Epoch: 172, Loss A: 0.09518986, loss B: 0.06551571
Epoch: 173, Loss A: 0.092217654, loss B: 0.06716955
Epoch: 174, Loss A: 0.093689516, loss B: 0.07211894
Epoch: 175, Loss A: 0.09232097, loss B: 0.07207385
Epoch: 176, Loss A: 0.09380713, loss B: 0.0661449
Epoch: 177, Loss A: 0.09377972, loss B: 0.06870963
Epoch: 178, Loss A: 0.100126356, loss B: 0.06669319
Epoch: 179, Loss A: 0.093324736, loss B: 0.06295313
Epoch: 180, Loss A: 0.08902987, loss B: 0.06753205
Epoch: 181, Loss A: 0.09787771, loss B: 0.06970158
Epoch: 182, Loss A: 0.099675685, loss B: 0.072707325
Epoch: 183, Loss A: 0.09309794, loss B: 0.06786117
Epoch: 184, Loss A: 0.09296728, loss B: 0.07041074
Epoch: 185, Loss A: 0.09202946, loss B: 0.0700932
Epoch: 186, Loss A: 0.09589892, loss B: 0.06670441
Epoch: 187, Loss A: 0.08813292, loss B: 0.06636609
Epoch: 188, Loss A: 0.09245494, loss B: 0.06719515
Epoch: 189, Loss A: 0.09612851, loss B: 0.0726823
Epoch: 190, Loss A: 0.09478063, loss B: 0.07317659
Epoch: 191, Loss A: 0.10213556, loss B: 0.069038205
Epoch: 192, Loss A: 0.09639692, loss B: 0.0664281
Epoch: 193, Loss A: 0.090093136, loss B: 0.06612332
Epoch: 194, Loss A: 0.09912437, loss B: 0.068230666
Epoch: 195, Loss A: 0.09463017, loss B: 0.06711144
Epoch: 196, Loss A: 0.08793534, loss B: 0.068934076
Epoch: 197, Loss A: 0.09142755, loss B: 0.069483794
Epoch: 198, Loss A: 0.10035163, loss B: 0.06942895
Epoch: 199, Loss A: 0.084692776, loss B: 0.069340095
Epoch: 200, Loss A: 0.09464605, loss B: 0.068649665
Epoch: 201, Loss A: 0.097578585, loss B: 0.066493586
Epoch: 202, Loss A: 0.090534635, loss B: 0.06474404
Epoch: 203, Loss A: 0.08894448, loss B: 0.067354314
Epoch: 204, Loss A: 0.091022, loss B: 0.06851173
Epoch: 205, Loss A: 0.09922387, loss B: 0.07071285
Epoch: 206, Loss A: 0.093948275, loss B: 0.067523055
Epoch: 207, Loss A: 0.09799491, loss B: 0.069884926
Epoch: 208, Loss A: 0.1052296, loss B: 0.06798029
Epoch: 209, Loss A: 0.101551995, loss B: 0.06751051
Epoch: 210, Loss A: 0.09675255, loss B: 0.06621407
Epoch: 211, Loss A: 0.09623136, loss B: 0.06559777
Epoch: 212, Loss A: 0.09418762, loss B: 0.07106908
Epoch: 213, Loss A: 0.09756071, loss B: 0.07035513
Epoch: 214, Loss A: 0.09207283, loss B: 0.06494215
Epoch: 215, Loss A: 0.09054309, loss B: 0.06962072
Epoch: 216, Loss A: 0.09050317, loss B: 0.06903559
Epoch: 217, Loss A: 0.10409356, loss B: 0.06574121
Epoch: 218, Loss A: 0.091499016, loss B: 0.064265296
Epoch: 219, Loss A: 0.09084751, loss B: 0.06609526
Epoch: 220, Loss A: 0.09872781, loss B: 0.0721934
Epoch: 221, Loss A: 0.08732224, loss B: 0.06279229
Epoch: 222, Loss A: 0.09284812, loss B: 0.06605448
Epoch: 223, Loss A: 0.09625516, loss B: 0.06716643
Epoch: 224, Loss A: 0.09566313, loss B: 0.06427503
Epoch: 225, Loss A: 0.09544729, loss B: 0.06522849
Epoch: 226, Loss A: 0.10036938, loss B: 0.064404696
Epoch: 227, Loss A: 0.104043365, loss B: 0.073991
